ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
11208,70501,5946.49,5052.17,6979976
11209,114589,1710.56,1452.84,2007876
11210,105692,3642.55,3100.2,4275728
11211,132181,2035.6,1717.78,2389433
11212,47426,3436.02,2927.92,4032993
11213,77637,2040.13,1728.03,2394771
11214,83512,2414.23,1956.35,2833814
11215,214768,4787.6,4071.38,5619641
11216,116617,2406.01,2041.83,2824202
11217,195414,1429.56,1218.44,1677990
11218,124925,2608.29,2224.4,3061549
11219,67012,648.01,553.02,760597
11220,80054,1107.05,940.82,1299460
11221,92568,2336.28,1990.04,2742398
11222,136729,1676.86,1415.0,1968336
11223,88967,1198.98,1023.28,1407320
11224,64289,764.76,652.51,897710
11225,97104,1390.74,1186.56,1632445
11226,88051,1704.52,1450.71,2000794
11228,110604,718.81,614.34,843717
11229,95619,2905.8,2473.86,3410745
11230,88045,1622.16,1380.17,1904025
11231,184570,1825.86,1548.62,2143249
11232,102707,1675.74,1413.97,1966981
11233,77871,2040.39,1741.18,2394920
11234,115779,8858.16,7548.89,10397633
11235,87716,2417.71,1966.09,2837968
11236,91504,10168.3,8491.16,11935450
11237,85698,507.62,430.97,595856
11238,150940,2329.68,1978.49,2734534
11239,52314,3145.51,2647.97,3692249
11249,152546,261.41,220.81,306822
11354,74814,1738.05,1476.53,2040152
11355,70789,2603.24,2213.74,3055595
11356,92302,3899.49,3124.35,4577225
11357,114881,3901.34,3333.48,4579362
11358,99732,2347.39,2002.8,2755305
11360,121746,1045.47,892.83,1227127
11361,118475,2475.54,2107.0,2905742
11362,117724,1715.84,1465.9,2014039
11363,138250,621.5,531.13,729446
11364,108800,2439.54,2082.89,2863438
11365,90690,6325.17,5360.34,7424404
11366,117601,1548.39,1322.83,1817458
11367,92453,3169.22,2685.92,3720122
11368,79303,1281.73,1094.9,1504472
11369,82892,1779.06,1520.41,2088109
11370,92798,734.16,624.76,861788
11372,86369,948.02,800.99,1112770
11373,78958,1994.05,1686.73,2340569
11374,99455,1604.26,1357.29,1883090
11375,132536,2337.4,1981.26,2743613
11377,90983,4077.29,3439.12,4785978
11378,103504,6640.67,5410.85,7795003
11379,112105,1364.71,1157.8,1601897
11385,94274,3444.43,2918.12,4043154
11411,121415,3940.63,3362.18,4625379
11412,110256,6866.55,5864.53,8059698
11413,117017,13153.75,10873.59,15439520
11414,113435,5284.91,4514.52,6203170
11415,108386,740.47,625.39,869157
11416,97553,1394.82,1187.97,1637210
11417,95069,2356.24,2009.49,2765631
11418,98400,1865.66,1589.14,2189834
11419,101888,3344.6,2857.83,3925607
11420,108168,5607.21,4790.24,6581196
11421,101775,1541.87,1317.18,1809700
11422,111079,6219.92,5314.6,7300783
11423,97308,3339.06,2851.31,3919231
11426,123526,2732.14,2332.17,3206881
11427,103543,2645.64,2250.9,3105469
11428,100568,2238.78,1913.38,2627831
11429,106897,4266.59,3646.49,5008035
11432,93363,5377.83,4559.43,6312457
11433,85972,4180.7,3564.12,4907169
11434,87984,9844.2,8401.52,11554395
11435,92957,3419.75,2913.13,4013991
11436,97981,3393.81,2900.46,3983463
11501,137828,2252.25,1920.0,2643678
11507,181390,1517.84,1295.27,1781616
11509,202438,808.32,690.2,948873
11510,148782,8904.86,7610.27,10452602
11514,147239,452.12,386.43,530726
11516,141779,398.75,340.79,468039
11518,124692,2126.84,1814.4,2496585
11520,120047,126.41,107.3,148364
11530,232202,4430.69,3440.66,5200894
11542,108261,2184.92,1865.77,2564655
11545,281840,1820.97,1548.44,2137504
11547,99021,137.22,117.28,161071
11548,216508,267.11,228.29,313532
11550,100068,6541.99,5572.41,7679037
11552,149923,4802.31,4097.24,5637080
11553,112043,5935.08,4940.97,6966814
11554,154093,11407.62,9749.32,13390655
11557,202353,1488.31,1270.35,1747081
11558,122221,3146.29,2685.61,3693276
11559,237168,951.63,808.66,1116986
11560,294634,687.08,587.25,806531
11561,142940,11640.27,9815.98,13663785
11563,160979,2372.2,2025.57,2784569
11565,171406,913.45,780.74,1072262
11566,180742,7866.75,6720.4,9234268
11568,416676,477.9,406.58,560986
11569,170908,542.36,462.52,636650
11570,180203,427.36,365.27,501659
11572,149806,8866.95,7573.88,10408247
11575,122417,3621.94,3095.64,4251543
11576,288024,1150.02,982.93,1349954
11577,246044,1193.7,1020.28,1401251
11579,255160,406.42,347.36,477063
11580,139163,8507.75,7256.18,9986623
11581,147508,6209.25,5294.0,7288424
11590,144820,10726.37,9021.24,12590975
11596,177549,1169.99,999.97,1373354
11598,224767,2313.59,1977.35,2715679
11691,84202,4937.01,4197.81,5795075
11692,76372,1664.12,1422.27,1953336
11693,85619,1403.88,1199.85,1647868
11694,113368,1494.57,1277.33,1754289
11697,146171,579.56,495.36,680320
11701,112108,8247.63,7033.08,9681166
11702,152236,6415.1,5367.65,7530369
11703,131025,6832.66,5833.03,8020426
11704,123360,26439.02,21000.48,31035030
11705,147546,2202.02,1881.48,2584895
11706,124847,17150.75,14483.38,20132071
11709,157895,1745.87,1483.67,2049393
11710,182841,10009.12,8547.5,11749044
11713,129080,6228.46,4954.72,7311347
11714,140341,10358.99,8458.48,12159692
11715,120840,1563.49,1335.55,1835210
11716,122052,6592.0,5605.03,7738008
11717,128769,17549.86,14806.61,20600782
11718,191691,496.65,424.52,583030
11719,121373,13673.63,10080.68,16050598
11720,133500,12399.13,10423.91,14554553
11721,243465,708.35,605.46,831535
11722,108411,10918.25,9023.03,12816371
11724,267147,400.09,341.31,469646
11725,190534,12482.53,10488.15,14652292
11726,120659,6101.23,5206.64,7161696
11727,108858,8399.98,7174.31,9860186
11729,129240,13508.05,11500.66,15856439
11730,150021,4152.3,3545.83,4874039
11731,164180,8755.82,7476.75,10277901
11732,150242,293.55,250.89,344572
11733,213626,6924.03,5884.58,8127750
11735,148261,14984.55,12715.8,17589243
11738,141655,7926.16,6487.22,9304232
11739,201702,445.93,381.15,523468
11740,159274,2563.7,2190.2,3009320
11741,137972,14943.33,12134.25,17541075
11742,133440,7951.71,6547.37,9334068
11743,197502,10031.85,8417.91,11775913
11746,167844,17475.67,14915.87,20513615
11747,171942,10324.59,8089.9,12119443
11749,117301,1289.57,1100.49,1513757
11751,128108,4015.34,3429.02,4713346
11752,155957,5437.45,4514.23,6382705
11753,252101,3217.64,2741.61,3777064
11754,136705,11643.8,9259.35,13668033
11755,134252,5118.76,4367.84,6008535
11756,142164,12415.98,10604.91,14574111
11757,121871,16101.1,13737.24,18900086
11758,159428,16295.56,13910.11,19128269
11762,157282,4925.4,4209.73,5781622
11763,113815,11067.28,9325.6,12990944
11764,146186,6001.03,5108.59,7044167
11765,462998,68.33,58.41,80219
11766,152712,3904.09,3335.55,4582784
11767,158788,6160.42,5252.9,7231368
11768,191832,4869.47,4150.99,5716101
11769,145000,4153.6,3538.79,4875579
11770,121356,238.65,203.97,280132
11771,215285,1145.66,977.79,1344846
11772,120201,11455.51,9780.36,13446844
11776,131379,7141.2,6099.28,8382571
11777,172876,2246.66,1913.36,2637186
11778,125151,3068.22,2622.39,3601571
11779,117348,20078.75,16295.54,23569011
11780,183858,4009.98,3417.62,4707124
11782,167703,5616.39,4789.03,6592782
11783,177401,6319.26,5400.51,7417772
11784,112307,12041.47,9852.5,14134637
11786,170587,15840.01,11825.9,18593683
11787,167204,12185.59,10138.51,14303686
11788,154053,12630.97,10447.46,14826793
